"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.7.33",58170,"172.26.211.223",6001,247,212689,145,205013,102,7676,354.930702823,5.538918384999988,296105.46428009943,11086.641060879278
"192.168.7.33",58172,"172.26.211.223",6001,23,1740,12,964,11,776,357.282181154,7.350428033000014,1049.1906002448695,844.5766657572808
"192.168.7.33",58174,"172.26.211.223",6001,277,234691,160,226643,117,8048,360.527356872,7.334108113000013,247220.78977621376,8778.708877481185
"192.168.7.33",58176,"172.26.211.223",6001,20,1559,14,1137,6,422,364.897284805,76.46266290299997,118.96002120066268,44.15226820288448
"192.168.7.33",57994,"172.26.211.223",6002,34,3276,18,1959,16,1317,377.650318972,7.035180179000008,2227.6614956900285,1497.6162275772167
"192.168.7.33",57996,"172.26.211.223",6002,1251,1464943,1006,1446575,245,18368,378.884824436,5.4733131160000426,2114368.345960332,26847.358608160223
"192.168.7.33",57998,"172.26.211.223",6002,34,2961,18,1657,16,1304,384.714635096,5.568825806999996,2380.394082956815,1873.2853857427197
"192.168.7.33",58000,"172.26.211.223",6002,916,1017605,697,1000997,219,16608,384.890666894,5.265914289000023,1520719.016776987,25230.946177293437
"192.168.7.33",58002,"172.26.211.223",6002,33,2884,17,1580,16,1304,391.735624768,6.839210729000001,1848.1664772227546,1525.3222065180203
"192.168.7.33",58004,"172.26.211.223",6002,742,801397,549,787581,193,13816,392.003693219,5.408366609999973,1164981.6764178327,20436.484426857398
"192.168.7.33",58006,"172.26.211.223",6002,21,1592,11,896,10,696,398.658211551,7.760208874999989,923.6864774467826,717.5064601595543
"192.168.7.33",58008,"172.26.211.223",6002,277,285797,197,279997,80,5800,404.195204335,1.7412589729999581,1286411.7484723243,26647.386011776845
"192.168.7.33",58010,"172.26.211.223",6002,18,1386,9,760,9,626,410.817627747,1.8587035569999557,3271.0971994982547,2694.3511143235623
"192.168.7.33",58012,"172.26.211.223",6002,2,152,2,152,0,0,410.934532423,1.0654301650000093,1141.3230448567124,0
"192.168.7.33",58014,"172.26.211.223",6002,18,1375,9,748,9,627,412.728275297,21.03045485800004,284.53973251670635,238.511246374298
"192.168.7.33",58016,"172.26.211.223",6002,13,1080,10,852,3,228,412.846534169,37.473436515,181.888842707865,48.67447903449908
"192.168.7.33",58018,"172.26.211.223",6002,10,745,6,461,4,284,424.797432968,2.1654823439999973,1703.084770106075,1049.1888822345452
"192.168.7.33",58020,"172.26.211.223",6002,15,1284,10,919,5,365,445.706630227,2.224036242000011,3305.701526423221,1312.928244988548
"192.168.7.33",58022,"172.26.211.223",6002,27,2003,16,1238,11,765,461.769537837,7.060713802000009,1402.6910419729243,866.7678894259184
"192.168.7.33",58024,"172.26.211.223",6002,21,16607,16,16255,5,352,462.306343788,6.499725244999979,20006.99954202455,433.24908266949507
"192.168.7.33",58026,"172.26.211.223",6002,22,1697,13,1056,9,641,468.688193613,6.897785856999974,1224.7408335280293,743.4269642911618
"192.168.7.33",58028,"172.26.211.223",6002,38,38529,29,37741,9,788,475.301463494,1.3654198499999666,221124.65993518944,4616.89494260696
"192.168.7.92",43666,"172.26.211.223",6003,36,3116,18,1676,18,1440,6.595821442,5.968708574999999,2246.3820827439213,1930.06575128356
"192.168.7.92",43668,"172.26.211.223",6003,272,234919,160,226643,112,8276,7.046378156,5.4725217850000005,331317.82224600133,12098.261569551703
"192.168.7.92",43670,"172.26.211.223",6003,39,3606,20,2085,19,1521,13.538267169000001,8.036683149999998,2075.483092798054,1514.0574504296592
"192.168.7.92",43672,"172.26.211.223",6003,347,291223,199,281507,148,9716,13.679695322,7.853372654000001,286762.91056339315,9897.403755622163
"192.168.7.92",43674,"172.26.211.223",6003,30,2192,16,1236,14,956,25.778696098,4.675958130999998,2114.6468216740336,1635.600616116809
"192.168.7.92",43676,"172.26.211.223",6003,256,233183,160,226643,96,6540,25.966356762,4.796444435999998,378018.34758917254,10908.080078507559
"192.168.7.92",43678,"172.26.211.223",6003,27,1976,14,1100,13,876,34.569688921,8.450200510000002,1041.3954070777427,829.3294332728204
"192.168.7.92",43680,"172.26.211.223",6003,108,85719,60,82443,48,3276,40.216103396,2.775856521999998,237600.17665639293,9441.410170982901
"192.168.7.92",43682,"172.26.211.223",6003,30,2159,16,1190,14,969,42.992140226,6.081969169000004,1565.2825154924742,1274.5871911867291
"192.168.7.92",43684,"172.26.211.223",6003,549,440031,296,422755,253,17276,43.188424042,6.275633769000002,538916.0879187051,22022.954985472792
"192.168.7.92",43686,"172.26.211.223",6003,32,2796,16,1492,16,1304,49.216359354,6.772258159000003,1762.4844947970028,1540.4019981335734
"192.168.7.92",43688,"172.26.211.223",6003,613,501623,339,483387,274,18236,49.580757112,6.399008140999996,604327.4074340644,22798.533270376738
"192.168.7.92",43690,"172.26.211.223",6003,36,3116,18,1676,18,1440,56.020321478,5.314085265999999,2523.1059211235474,2167.8237031133103
"192.168.7.92",43692,"172.26.211.223",6003,895,776613,524,750145,371,26468,56.130708257,5.159695823999996,1163084.0663292566,41038.078061711756
"192.168.7.92",43694,"172.26.211.223",6003,24,1796,12,964,12,832,62.63257089,7.5383419559999965,1023.0366365725534,882.9527817721623
"192.168.7.92",43696,"172.26.211.223",6003,313,288149,197,279997,116,8152,67.891030617,1.8150925320000084,1234083.6406460349,35929.8486717589
"192.168.7.92",43698,"172.26.211.223",6003,36,3095,18,1655,18,1440,69.606698794,5.510966625000009,2402.482341289806,2090.377384566357
"192.168.7.92",43700,"172.26.211.223",6003,933,857863,581,832351,352,25512,69.775064919,5.297979777999998,1256857.9494491233,38523.363348330255
"192.168.7.92",43702,"172.26.211.223",6003,36,3111,18,1671,18,1440,76.553266294,5.3998380410000095,2475.6298056532723,2133.3973190548845
"192.168.7.92",43704,"172.26.211.223",6003,662,565649,382,545381,280,20268,76.662671792,5.196478021000004,839616.3675412564,31202.672145392273
"192.168.7.92",43706,"172.26.211.223",6003,40,3388,20,1812,20,1576,83.557741061,6.283650072,2306.939411631832,2006.4771041566046
